"Data","Último","Abertura","Alta","Baixa","Var. %"
"05.11.2024","2,670","2,657","2,702","2,657","0,34%"
"04.11.2024","2,661","2,667","2,702","2,655","-0,60%"
"01.11.2024","2,677","2,682","2,694","2,629","-0,11%"
"31.10.2024","2,680","2,698","2,732","2,653","0,90%"
"30.10.2024","2,656","2,544","2,657","2,529","3,39%"
"29.10.2024","2,569","2,513","2,569","2,513","2,19%"
"28.10.2024","2,514","2,559","2,567","2,485","-0,51%"
"25.10.2024","2,527","2,477","2,528","2,471","2,22%"
"24.10.2024","2,472","2,481","2,486","2,452","-1,79%"
"23.10.2024","2,517","2,537","2,538","2,515","-1,76%"
"22.10.2024","2,562","2,550","2,572","2,522","1,07%"
"21.10.2024","2,535","2,423","2,537","2,422","5,01%"
"18.10.2024","2,414","2,456","2,457","2,403","-1,39%"
"17.10.2024","2,448","2,474","2,493","2,433","-0,20%"
"16.10.2024","2,453","2,472","2,484","2,447","-2,04%"
"15.10.2024","2,504","2,523","2,537","2,497","-2,45%"
"14.10.2024","2,567","2,548","2,580","2,547","-0,19%"
"11.10.2024","2,572","2,538","2,601","2,538","1,34%"
"10.10.2024","2,538","2,575","2,587","2,536","-0,90%"
"09.10.2024","2,561","2,522","2,563","2,521","0,99%"
"08.10.2024","2,536","2,545","2,564","2,535","-0,70%"
"07.10.2024","2,554","2,515","2,564","2,511","2,20%"
"04.10.2024","2,499","2,447","2,517","2,437","2,92%"
"03.10.2024","2,428","2,410","2,440","2,409","1,46%"
"02.10.2024","2,393","2,366","2,415","2,366","1,36%"
"01.10.2024","2,361","2,420","2,421","2,326","-3,24%"
"30.09.2024","2,440","2,423","2,473","2,411","0,41%"
"27.09.2024","2,430","2,428","2,450","2,397","-0,90%"
"26.09.2024","2,452","2,450","2,461","2,408","-0,97%"
"25.09.2024","2,476","2,426","2,480","2,419","2,19%"
"24.09.2024","2,423","2,454","2,484","2,413","-1,90%"
"23.09.2024","2,470","2,506","2,510","2,466","-2,26%"
"20.09.2024","2,527","2,516","2,545","2,492","0,56%"
"19.09.2024","2,513","2,536","2,546","2,505","-1,33%"
"18.09.2024","2,547","2,501","2,548","2,497","1,80%"
"17.09.2024","2,502","2,442","2,504","2,428","1,79%"
"16.09.2024","2,458","2,470","2,494","2,455","-1,09%"
"13.09.2024","2,485","2,473","2,495","2,457","-0,68%"
"12.09.2024","2,502","2,473","2,509","2,449","1,87%"
"11.09.2024","2,456","2,468","2,506","2,438","-1,68%"
"10.09.2024","2,498","2,538","2,545","2,498","-1,30%"
"09.09.2024","2,531","2,571","2,591","2,528","-0,28%"
"06.09.2024","2,538","2,545","2,574","2,507","-1,21%"
"05.09.2024","2,569","2,576","2,606","2,555","-0,81%"
"04.09.2024","2,590","2,636","2,638","2,578","-2,63%"
"03.09.2024","2,660","2,693","2,719","2,641","-1,34%"
"02.09.2024","2,696","2,709","2,715","2,692","0,79%"
"30.08.2024","2,675","2,646","2,678","2,629","0,98%"
"29.08.2024","2,649","2,666","2,676","2,610","-0,41%"
"28.08.2024","2,660","2,668","2,670","2,634","-0,49%"
"27.08.2024","2,673","2,643","2,692","2,640","1,29%"
"26.08.2024","2,639","2,599","2,648","2,598","1,27%"
"23.08.2024","2,606","2,635","2,651","2,596","-1,14%"
"22.08.2024","2,636","2,596","2,643","2,577","1,54%"
"21.08.2024","2,596","2,645","2,647","2,596","-1,63%"
"20.08.2024","2,639","2,673","2,673","2,635","-1,53%"
