"Data","Último","Abertura","Alta","Baixa","Var. %"
"05.11.2024","2,264","2,254","2,291","2,253","0,44%"
"04.11.2024","2,254","2,259","2,302","2,233","-0,04%"
"01.11.2024","2,255","2,261","2,286","2,208","-0,53%"
"31.10.2024","2,267","2,296","2,347","2,255","1,02%"
"30.10.2024","2,244","2,163","2,247","2,116","4,18%"
"29.10.2024","2,154","2,085","2,161","2,085","2,57%"
"28.10.2024","2,100","2,119","2,172","2,069","-0,66%"
"25.10.2024","2,114","2,072","2,120","2,065","2,22%"
"24.10.2024","2,068","2,108","2,109","2,053","-2,45%"
"23.10.2024","2,120","2,141","2,145","2,107","-1,12%"
"22.10.2024","2,144","2,128","2,164","2,101","1,61%"
"21.10.2024","2,110","2,019","2,114","2,015","4,51%"
"18.10.2024","2,019","2,042","2,062","2,009","-1,17%"
"17.10.2024","2,043","2,056","2,079","2,025","0,34%"
"16.10.2024","2,036","2,083","2,086","2,034","-2,49%"
"15.10.2024","2,088","2,141","2,141","2,079","-2,43%"
"14.10.2024","2,140","2,117","2,154","2,111","0,23%"
"11.10.2024","2,135","2,110","2,162","2,110","1,14%"
"10.10.2024","2,111","2,142","2,167","2,111","-0,75%"
"09.10.2024","2,127","2,107","2,129","2,084","0,95%"
"08.10.2024","2,107","2,116","2,128","2,088","-0,33%"
"07.10.2024","2,114","2,084","2,133","2,073","1,98%"
"04.10.2024","2,073","1,970","2,088","1,970","5,50%"
"03.10.2024","1,965","1,925","1,987","1,923","1,81%"
"02.10.2024","1,930","1,875","1,944","1,875","2,44%"
"01.10.2024","1,884","1,952","1,956","1,845","-3,63%"
"30.09.2024","1,955","1,954","2,002","1,932","-0,36%"
"27.09.2024","1,962","2,001","2,023","1,938","-1,51%"
"26.09.2024","1,992","1,998","2,003","1,948","-0,99%"
"25.09.2024","2,012","1,969","2,013","1,959","2,76%"
"24.09.2024","1,958","1,995","2,030","1,951","-2,93%"
"23.09.2024","2,017","2,068","2,074","1,985","-3,21%"
"20.09.2024","2,084","2,046","2,092","2,032","1,86%"
