"Data","Último","Abertura","Alta","Baixa","Var. %"
"05.11.2024","2,390","2,376","2,431","2,375","0,08%"
"04.11.2024","2,388","2,378","2,412","2,371","0,93%"
"01.11.2024","2,366","2,341","2,381","2,327","1,28%"
"31.10.2024","2,336","2,367","2,382","2,317","0,73%"
"30.10.2024","2,319","2,251","2,333","2,231","2,38%"
"29.10.2024","2,265","2,234","2,280","2,234","1,30%"
"28.10.2024","2,236","2,299","2,309","2,215","-0,97%"
"25.10.2024","2,258","2,207","2,262","2,198","2,87%"
"24.10.2024","2,195","2,219","2,223","2,179","-2,49%"
"23.10.2024","2,251","2,271","2,272","2,244","-1,57%"
"22.10.2024","2,287","2,286","2,303","2,251","1,19%"
"21.10.2024","2,260","2,161","2,264","2,160","5,31%"
"18.10.2024","2,146","2,193","2,197","2,141","-1,78%"
"17.10.2024","2,185","2,218","2,228","2,177","-0,27%"
"16.10.2024","2,191","2,205","2,223","2,187","-2,14%"
"15.10.2024","2,239","2,258","2,273","2,230","-2,78%"
"14.10.2024","2,303","2,288","2,315","2,278","0,00%"
"11.10.2024","2,303","2,272","2,326","2,271","1,50%"
"10.10.2024","2,269","2,293","2,314","2,265","-0,44%"
"09.10.2024","2,279","2,239","2,279","2,239","0,84%"
"08.10.2024","2,260","2,273","2,294","2,258","-0,53%"
"07.10.2024","2,272","2,248","2,281","2,240","1,97%"
"04.10.2024","2,228","2,187","2,252","2,178","2,63%"
"03.10.2024","2,171","2,150","2,189","2,149","1,31%"
"02.10.2024","2,143","2,111","2,160","2,111","1,76%"
"01.10.2024","2,106","2,165","2,168","2,070","-3,44%"
"30.09.2024","2,181","2,174","2,216","2,159","-0,18%"
"27.09.2024","2,185","2,181","2,191","2,138","-0,59%"
"26.09.2024","2,198","2,208","2,209","2,158","-1,17%"
"25.09.2024","2,224","2,186","2,224","2,170","2,49%"
"24.09.2024","2,170","2,211","2,242","2,165","-2,65%"
"23.09.2024","2,229","2,276","2,278","2,223","-3,00%"
"20.09.2024","2,298","2,288","2,303","2,258","0,75%"
"19.09.2024","2,281","2,315","2,317","2,274","-1,00%"
"18.09.2024","2,304","2,272","2,311","2,261","1,59%"
"17.09.2024","2,268","2,219","2,269","2,198","1,89%"
"16.09.2024","2,226","2,262","2,263","2,225","-1,42%"
"13.09.2024","2,258","2,253","2,269","2,228","-1,01%"
"12.09.2024","2,281","2,256","2,283","2,226","2,52%"
"11.09.2024","2,225","2,252","2,284","2,213","-2,54%"
"10.09.2024","2,283","2,322","2,325","2,283","-1,17%"
"09.09.2024","2,310","2,352","2,370","2,303","-0,26%"
"06.09.2024","2,316","2,329","2,352","2,291","-1,57%"
"05.09.2024","2,353","2,358","2,386","2,338","-0,51%"
"04.09.2024","2,365","2,419","2,420","2,356","-2,67%"
"03.09.2024","2,430","2,469","2,496","2,417","-1,58%"
"02.09.2024","2,469","2,485","2,494","2,463","1,27%"
"30.08.2024","2,438","2,425","2,443","2,399","0,37%"
"29.08.2024","2,429","2,432","2,446","2,382","-0,04%"
"28.08.2024","2,430","2,440","2,443","2,401","-0,69%"
"27.08.2024","2,447","2,400","2,458","2,400","1,96%"
"26.08.2024","2,400","2,362","2,409","2,359","1,01%"
"23.08.2024","2,376","2,407","2,416","2,358","-1,29%"
"22.08.2024","2,407","2,359","2,413","2,341","1,39%"
"21.08.2024","2,374","2,415","2,416","2,369","-1,37%"
"20.08.2024","2,407","2,446","2,446","2,404","-1,51%"
"19.08.2024","2,444","2,435","2,458","2,408","-1,05%"
"16.08.2024","2,470","2,435","2,470","2,412","0,69%"
"15.08.2024","2,453","2,358","2,454","2,356","3,94%"
"14.08.2024","2,360","2,375","2,408","2,352","-0,08%"
"13.08.2024","2,362","2,418","2,423","2,358","-2,15%"
"12.08.2024","2,414","2,438","2,444","2,413","-0,21%"
"09.08.2024","2,419","2,444","2,444","2,407","-1,67%"
"08.08.2024","2,460","2,427","2,472","2,398","0,16%"
"07.08.2024","2,456","2,418","2,485","2,413","2,33%"
"06.08.2024","2,400","2,435","2,445","2,363","-0,74%"
"05.08.2024","2,418","2,333","2,421","2,302","1,30%"
"02.08.2024","2,387","2,431","2,450","2,364","-2,93%"
"01.08.2024","2,459","2,479","2,504","2,441","-1,32%"
"31.07.2024","2,492","2,524","2,524","2,490","-1,74%"
"30.07.2024","2,536","2,543","2,575","2,525","-0,98%"
"29.07.2024","2,561","2,579","2,581","2,539","-1,35%"
"26.07.2024","2,596","2,635","2,652","2,582","-0,50%"
"25.07.2024","2,609","2,630","2,648","2,585","-1,21%"
"24.07.2024","2,641","2,638","2,651","2,610","-0,08%"
"23.07.2024","2,643","2,674","2,677","2,633","-0,79%"
"22.07.2024","2,664","2,635","2,665","2,631","0,83%"
"19.07.2024","2,642","2,624","2,655","2,602","1,62%"
"18.07.2024","2,600","2,622","2,643","2,582","-0,73%"
"17.07.2024","2,619","2,613","2,636","2,592","0,38%"
"16.07.2024","2,609","2,635","2,640","2,592","-1,40%"
"15.07.2024","2,646","2,684","2,686","2,642","-1,19%"
"12.07.2024","2,678","2,678","2,715","2,665","0,45%"
"11.07.2024","2,666","2,729","2,763","2,650","-2,34%"
"10.07.2024","2,730","2,754","2,758","2,713","-2,12%"
"09.07.2024","2,789","2,747","2,791","2,743","1,94%"
"08.07.2024","2,736","2,783","2,784","2,727","-1,33%"
"05.07.2024","2,773","2,802","2,817","2,756","-1,56%"
"04.07.2024","2,817","2,816","2,827","2,805","0,64%"
"03.07.2024","2,799","2,840","2,862","2,788","-1,76%"
"02.07.2024","2,849","2,850","2,881","2,822","-0,90%"
"01.07.2024","2,875","2,816","2,878","2,816","2,02%"
"28.06.2024","2,818","2,800","2,837","2,789","0,68%"
"27.06.2024","2,799","2,806","2,823","2,779","0,25%"
"26.06.2024","2,792","2,750","2,795","2,743","1,45%"
"25.06.2024","2,752","2,742","2,766","2,720","-0,18%"
"24.06.2024","2,757","2,745","2,763","2,724","0,11%"
"21.06.2024","2,754","2,742","2,761","2,696","-0,40%"
"20.06.2024","2,765","2,786","2,803","2,761","0,11%"
"19.06.2024","2,762","2,740","2,781","2,737","0,80%"
"18.06.2024","2,740","2,768","2,785","2,724","-0,94%"
