"Data","Último","Abertura","Alta","Baixa","Var. %"
"04.11.2024","9,54","9,54","9,54","9,54","0,21%"
"01.11.2024","9,52","9,52","9,52","9,52","0,00%"
"31.10.2024","9,52","9,52","9,52","9,52","-0,10%"
"30.10.2024","9,53","9,53","9,53","9,50","0,21%"
"29.10.2024","9,51","9,51","9,53","9,51","0,00%"
"28.10.2024","9,51","9,51","9,51","9,51","-0,11%"
"25.10.2024","9,52","9,52","9,52","9,51","-0,10%"
"24.10.2024","9,53","9,53","9,53","9,53","0,21%"
"23.10.2024","9,51","9,51","9,51","9,50","0,00%"
"22.10.2024","9,51","9,51","9,51","9,51","-0,11%"
"21.10.2024","9,52","9,52","9,52","9,48","0,00%"
"18.10.2024","9,52","9,52","9,53","9,52","-4,90%"
"17.10.2024","10,01","10,01","10,01","10,01","-0,10%"
"16.10.2024","10,02","10,02","10,02","10,02","5,36%"
"15.10.2024","9,51","9,51","10,02","9,51","-0,11%"
"14.10.2024","9,52","9,52","9,52","9,51","0,00%"
"11.10.2024","9,52","9,52","9,53","9,52","-0,10%"
"10.10.2024","9,53","9,50","9,53","9,50","-2,69%"
"09.10.2024","9,79","9,53","9,53","9,53","2,76%"
"08.10.2024","9,53","9,53","9,53","9,53","-4,80%"
"07.10.2024","10,01","10,01","10,01","10,01","-4,85%"
"04.10.2024","10,52","10,52","10,52","9,94","0,00%"
"03.10.2024","10,52","10,52","11,03","10,52","0,00%"
"02.10.2024","10,52","10,52","10,52","10,51","0,00%"
"01.10.2024","10,52","10,52","10,53","10,52","0,00%"
"30.09.2024","10,52","10,52","10,52","10,11","0,00%"
"27.09.2024","10,52","10,52","10,54","10,52","0,00%"
"26.09.2024","10,52","10,52","10,52","10,50","0,10%"
"25.09.2024","10,51","10,51","10,51","10,50","-0,10%"
"24.09.2024","10,52","10,52","10,53","10,52","0,00%"
"23.09.2024","10,52","10,52","10,52","10,20","2,24%"
"20.09.2024","10,29","10,29","10,52","10,29","14,08%"
"19.09.2024","9,02","9,02","9,02","9,02","0,00%"
"18.09.2024","9,02","9,02","9,02","8,65","0,00%"
"17.09.2024","9,02","9,02","9,02","9,00","0,00%"
"16.09.2024","9,02","9,02","9,02","9,02","-0,22%"
"13.09.2024","9,04","9,04","9,04","9,03","0,33%"
"12.09.2024","9,01","9,01","9,01","9,01","-0,11%"
"11.09.2024","9,02","9,02","9,02","9,00","0,11%"
"10.09.2024","9,01","9,01","9,04","9,01","0,00%"
"09.09.2024","9,01","9,01","9,01","9,01","-0,11%"
"06.09.2024","9,02","9,02","9,05","9,02","0,11%"
"05.09.2024","9,01","9,01","9,02","9,01","-0,11%"
"04.09.2024","9,02","9,02","9,05","9,02","-4,65%"
"03.09.2024","9,46","9,01","9,01","9,46","4,88%"
"02.09.2024","9,02","9,02","9,02","9,01","0,11%"
"30.08.2024","9,01","9,01","9,02","8,99","-0,11%"
"29.08.2024","9,02","9,02","9,02","9,01","0,11%"
"28.08.2024","9,01","9,01","9,01","9,01","0,00%"
"27.08.2024","9,01","9,01","9,02","9,01","-0,11%"
"26.08.2024","9,02","9,02","9,02","9,02","-0,33%"
"23.08.2024","9,05","9,05","9,05","9,05","0,44%"
"22.08.2024","9,01","9,01","9,01","8,99","-0,11%"
"21.08.2024","9,02","9,02","9,04","9,02","0,11%"
"20.08.2024","9,01","9,01","9,04","9,01","0,00%"
"19.08.2024","9,01","9,01","9,01","9,01","-0,11%"
"16.08.2024","9,02","9,02","9,02","9,02","-2,70%"
"15.08.2024","9,27","9,27","9,27","8,97","0,11%"
"14.08.2024","9,26","9,26","9,26","9,26","-0,11%"
"13.08.2024","9,27","9,27","9,28","9,27","0,11%"
"12.08.2024","9,26","9,26","9,28","9,26","2,66%"
"09.08.2024","9,02","9,02","9,27","9,02","-10,16%"
"08.08.2024","10,04","10,04","10,04","9,00","-4,38%"
